ID,Time,Market,Side,Order Type,Size,Price,Total,Fee,Fee Currency,TWAP
9044944268,2022-07-12T04:12:41.346198+00:00,ETH/USD,sell,Limit,0.001,1087.3,1.0873,0.00021746,USD,FALSE
9044867634,2022-07-12T04:03:43.433901+00:00,ETH/USD,sell,Limit,0.001,1085.4,1.0854,0.00021708,USD,FALSE
9044839238,2022-07-12T04:00:21.572324+00:00,ETH/USD,buy,Limit,0.001,1084.4,1.0844,2.00E-07,ETH,FALSE
9044827252,2022-07-12T03:59:05.532895+00:00,ETH/USD,sell,Limit,0.001,1085.6,1.0856,0.00021712,USD,FALSE
9044808903,2022-07-12T03:56:51.112270+00:00,ETH/USD,sell,Limit,0.001,1084.6,1.0846,0.00021692,USD,FALSE
9044776573,2022-07-12T03:52:37.980598+00:00,ETH/USD,buy,Limit,0.001,1083.5,1.0835,2.00E-07,ETH,FALSE
9044768347,2022-07-12T03:51:32.478577+00:00,ETH/USD,sell,Limit,0.001,1084.6,1.0846,0.00021692,USD,FALSE
9044715595,2022-07-12T03:44:53.372638+00:00,ETH/USD,sell,Limit,0.001,1083.3,1.0833,0.00021666,USD,FALSE
9044685542,2022-07-12T03:41:36.177376+00:00,ETH/USD,sell,Limit,0.001,1082.3,1.0823,0.00021646,USD,FALSE
9044631738,2022-07-12T03:36:00.714799+00:00,ETH/USD,buy,Limit,0.001,1081.2,1.0812,2.00E-07,ETH,FALSE
9044621329,2022-07-12T03:34:47.019220+00:00,ETH/USD,buy,Limit,0.001,1082.2,1.0822,2.00E-07,ETH,FALSE
9044596711,2022-07-12T03:32:08.066254+00:00,ETH/USD,sell,Limit,0.001,1083.2,1.0832,0.00021664,USD,FALSE
9044572375,2022-07-12T03:30:02.896532+00:00,ETH/USD,buy,Limit,0.001,1082.1,1.0821,2.00E-07,ETH,FALSE
9044559910,2022-07-12T03:28:42.187005+00:00,ETH/USD,sell,Limit,0.001,1083.1,1.0831,0.00021662,USD,FALSE
9044557337,2022-07-12T03:28:25.177559+00:00,ETH/USD,buy,Limit,0.001,1082.4,1.0824,2.00E-07,ETH,FALSE
9044534334,2022-07-12T03:25:27.561510+00:00,ETH/USD,sell,Limit,0.001,1083.4,1.0834,0.00021668,USD,FALSE
9044522036,2022-07-12T03:23:59.529518+00:00,ETH/USD,sell,Limit,0.001,1082.3,1.0823,0.00021646,USD,FALSE
9044501949,2022-07-12T03:22:29.718102+00:00,ETH/USD,buy,Limit,0.001,1081.2,1.0812,2.00E-07,ETH,FALSE
9044500234,2022-07-12T03:22:14.323734+00:00,ETH/USD,buy,Limit,0.001,1082.7,1.0827,2.00E-07,ETH,FALSE
9044480514,2022-07-12T03:19:46.975771+00:00,ETH/USD,buy,Limit,0.001,1083.8,1.0838,2.00E-07,ETH,FALSE
9044455650,2022-07-12T03:16:34.301361+00:00,ETH/USD,sell,Limit,0.001,1085.2,1.0852,0.00021704,USD,FALSE
9044430387,2022-07-12T03:13:53.660401+00:00,ETH/USD,buy,Limit,0.001,1084.2,1.0842,2.00E-07,ETH,FALSE
9044424234,2022-07-12T03:13:14.832217+00:00,ETH/USD,buy,Limit,0.001,1085,1.085,2.00E-07,ETH,FALSE
9044404154,2022-07-12T03:10:48.721081+00:00,ETH/USD,sell,Limit,0.001,1086.2,1.0862,0.00021724,USD,FALSE
9044374613,2022-07-12T03:07:15.118541+00:00,ETH/USD,sell,Limit,0.001,1084.8,1.0848,0.00021696,USD,FALSE
9044369043,2022-07-12T03:06:47.031861+00:00,ETH/USD,sell,Limit,0.001,1083.8,1.0838,0.00021676,USD,FALSE
9044363635,2022-07-12T03:06:26.489492+00:00,ETH/USD,sell,Limit,0.001,1082.6,1.0826,0.00075782,USD,FALSE
9044360324,2022-07-12T03:06:24.419049+00:00,ETH/USD,buy,Limit,0.001,1081.9,1.0819,2.00E-07,ETH,FALSE
9044353841,2022-07-12T03:06:06.904760+00:00,ETH/USD,buy,Limit,0.001,1083,1.083,2.00E-07,ETH,FALSE
9044347927,2022-07-12T03:05:41.214748+00:00,ETH/USD,buy,Limit,0.001,1083.4,1.0834,2.00E-07,ETH,FALSE
9044343129,2022-07-12T03:05:32.401907+00:00,ETH/USD,buy,Limit,0.001,1085.2,1.0852,2.00E-07,ETH,FALSE
9044340035,2022-07-12T03:05:20.294354+00:00,ETH/USD,buy,Limit,0.001,1086.3,1.0863,2.00E-07,ETH,FALSE
9044334638,2022-07-12T03:04:38.890072+00:00,ETH/USD,buy,Limit,0.001,1087.1,1.0871,2.00E-07,ETH,FALSE
9044329946,2022-07-12T03:04:13.249001+00:00,ETH/USD,buy,Limit,0.001,1088.1,1.0881,2.00E-07,ETH,FALSE
9044305354,2022-07-12T03:00:48.502412+00:00,ETH/USD,sell,Limit,0.001,1089.4,1.0894,0.00021788,USD,FALSE
9044302352,2022-07-12T03:00:30.214114+00:00,ETH/USD,buy,Limit,0.001,1088.3,1.0883,2.00E-07,ETH,FALSE
9044297019,2022-07-12T03:00:09.397806+00:00,ETH/USD,buy,Limit,0.001,1089.3,1.0893,2.00E-07,ETH,FALSE
9044292816,2022-07-12T02:59:43.535103+00:00,ETH/USD,sell,Limit,0.001,1090,1.09,0.000218,USD,FALSE
9044271921,2022-07-12T02:56:17.474905+00:00,ETH/USD,buy,Limit,0.001,1089.1,1.0891,2.00E-07,ETH,FALSE
9044232277,2022-07-12T02:52:15.702003+00:00,ETH/USD,sell,Limit,0.001,1089.8,1.0898,0.00021796,USD,FALSE
9044178025,2022-07-12T02:44:56.318670+00:00,ETH/USD,buy,Limit,0.001,1088.8,1.0888,2.00E-07,ETH,FALSE
9044173810,2022-07-12T02:44:25.510606+00:00,ETH/USD,sell,Limit,0.001,1089.9,1.0899,0.00021798,USD,FALSE
9044154604,2022-07-12T02:42:12.927319+00:00,ETH/USD,buy,Limit,0.001,1088.8,1.0888,2.00E-07,ETH,FALSE
9044153691,2022-07-12T02:42:12.698818+00:00,ETH/USD,buy,Limit,0.001,1089,1.089,2.00E-07,ETH,FALSE
9044143633,2022-07-12T02:41:13.759752+00:00,ETH/USD,buy,Limit,0.017,1090,18.53,0.0000034,ETH,FALSE
9044140538,2022-07-12T02:41:11.457154+00:00,ETH/USD,buy,Limit,0.001,1091.2,1.0912,2.00E-07,ETH,FALSE
